,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,mean.Humidity_60,grad.Humidity_60,mean.Solar_60,grad.Solar_60,mean.hr_60,grad.hr_60,mean.WristT_60,grad.WristT_60,mean.PantT_60,grad.PantT_60
2535,7,4/5/2017 17:58,-0.4,16.96666667,-0.01,24.0,-0.3,105.3333333,-3.7,92.64375,2.608281639,26.295625,-0.012926471,,
2536,7,4/5/2017 18:06,-0.6,16.7,,21.0,,76.0,,97.81666667,0.656018472,28.10375,0.146547619,,
2537,7,4/5/2017 18:30,0.3,16.55,-0.010285714,17.5,-0.102857143,72.75,-0.6,94.02638889,-0.3250479,29.26416667,0.059582609,,
2539,7,4/5/2017 19:08,0.6,15.5,-0.034285714,27.0,-0.214285714,51.66666667,-1.471428571,104.4289855,-0.204433411,26.87,-0.062302372,,
2540,7,4/5/2017 19:24,0.1,15.06666667,-0.03,23.0,-0.1,24.66666667,-1.6,77.32291667,-0.723549776,29.8925,0.325117647,,
2541,7,4/5/2017 19:43,0.2,14.675,-0.034,22.0,-0.2,4.75,-0.66,74.64912281,-0.003072365,31.93473684,0.012894737,,
2542,7,4/5/2017 20:10,0.2,14.3,-0.005714286,21.16666667,-0.165714286,0.0,0.0,96.75740741,0.496303513,28.28592593,-0.252838828,,
2543,7,4/5/2017 20:46,-0.1,14.31666667,0.009714286,17.16666667,-0.291428571,0.0,0.0,74.75138889,-0.366044353,30.25416667,0.075857143,,
2544,7,4/5/2017 21:22,-0.2,14.25714286,-4.02e-14,13.0,-0.214285714,0.0,0.0,70.31712963,-0.072359662,31.04361111,-0.002647362,,
2545,7,4/5/2017 21:32,-0.3,14.35,0.02,7.5,0.6,0.0,0.0,79.495,3.831998978,30.567,-0.197515152,,
2546,7,4/5/2017 21:56,0.3,14.475,0.014,13.25,0.02,0.0,0.0,82.69537815,-0.680380654,29.80541667,0.006978261,,
2547,7,4/5/2017 22:19,0.3,15.075,0.042,15.75,-0.9,0.0,0.0,63.07463768,0.380421695,30.95434783,0.035454545,,
2548,7,4/5/2017 22:37,0.4,15.2,-0.048,12.75,0.3,0.0,0.0,59.49074074,-0.236246202,31.10277778,0.005995872,,
2549,7,4/5/2017 23:03,0.4,14.3,-0.022,12.8,3.71e-12,0.0,0.0,63.31699346,-0.69036179,30.45230769,-0.004150427,,
2550,7,4/5/2017 23:27,0.6,13.58,-0.03,21.6,0.32,0.0,0.0,58.17956656,0.152823952,30.945,0.000130435,,
2551,7,4/6/2017 7:47,1.1,13.37272727,-0.003031847,42.54545455,0.059235669,0.454545455,0.038853503,58.43182449,-0.139810507,35.75360656,0.001608144,,
2552,7,4/6/2017 8:26,0.6,13.7875,0.029285714,42.5,-0.261904762,23.625,0.873809524,61.98615752,0.019887125,34.55410256,0.009459514,,
2553,7,4/6/2017 8:54,0.8,14.2,-0.012,41.6,0.42,58.8,1.32,64.34702381,0.045661687,32.13678571,0.048574165,,
2555,7,4/6/2017 9:44,1.2,12.7,-0.04,68.5,0.2,230.0,0.4,123.0888889,-1.111647592,26.42,0.345174825,,
2556,7,4/6/2017 9:55,1.2,12.4,0.0,74.5,0.2,292.5,14.6,161.130303,-2.660489453,27.47454545,0.118545455,,
2557,7,4/6/2017 10:13,0.2,12.25,-0.02,72.0,-1.2,379.0,3.2,128.6055556,-0.151308429,29.33,-0.008214654,,
2558,7,4/6/2017 10:38,0.9,12.0,-0.016,72.4,0.08,389.6,6.86,137.1833333,-0.046721407,27.8864,0.004292308,,
2560,7,4/6/2017 11:15,0.2,13.625,0.026,51.5,-0.08,388.0,7.44,99.24385965,-1.709499299,29.62421053,0.001210526,,
2561,7,4/6/2017 12:12,0.4,14.45,0.026325758,47.2,-0.150378788,285.6,-4.142424242,120.0166147,2.978809207,25.83631579,-0.096794141,,
2562,7,4/6/2017 12:30,0.6,15.1,0.0,39.0,-0.12,298.75,1.7,,,30.22722222,-0.029009288,,
2564,7,4/6/2017 13:54,-0.5,14.61428571,-0.051428571,47.71428571,0.278571429,353.5714286,0.885714286,,,31.24028571,0.089212885,,
2565,7,4/6/2017 14:11,0.4,13.975,0.006,53.0,0.08,451.75,12.74,92.8563886,-1.223573398,31.66764706,-0.034240196,,
2566,7,4/6/2017 14:24,0.2,14.1,5.02e-16,48.5,0.2,398.5,7.0,89.30641026,0.124939517,31.49,-0.02010989,,
2567,7,4/6/2017 14:57,0.2,13.92857143,0.000714286,49.28571429,-0.071428571,439.7142857,-1.514285714,84.56616162,-0.235776512,31.34151515,-0.020955882,,
2568,7,4/6/2017 15:21,0.1,14.68,0.024,40.2,-0.26,437.0,6.58,90.00833333,-0.894339262,30.38875,-0.018604348,,
2569,7,4/6/2017 15:42,0.4,14.975,0.014,37.5,-0.2,438.25,-21.18,73.3968254,-0.254211368,29.94142857,-0.004480519,,
2570,7,4/6/2017 15:55,-0.6,15.2,0.02,35.66666667,0.2,335.6666667,11.0,75.21025641,0.98813696,29.94230769,0.00489011,,
2571,7,4/6/2017 17:09,0.7,15.75,-0.005314685,40.0,0.19020979,340.8333333,3.135664336,93.32129964,0.615245426,29.84327869,0.021653622,,
2572,7,4/6/2017 17:58,0.2,15.13,-0.044727273,51.2,0.511515152,263.2,-0.526060606,110.9367347,0.195593327,31.25897959,0.013088776,,
2573,7,4/6/2017 19:05,0.6,10.66666667,-0.049488973,85.58333333,0.201506186,89.08333333,-1.708552985,117.5306859,-0.148550259,30.17114754,-0.006951348,,
2574,7,4/6/2017 19:29,0.4,9.5,-0.028,83.25,0.14,52.5,-1.12,103.8319444,-0.041302103,30.35458333,0.027917391,,
2575,7,4/6/2017 19:53,0.8,9.18,-0.01,82.8,0.1,18.0,-1.36,117.2006944,1.815736673,31.0,0.018843478,,
