,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,mean.Humidity_60,grad.Humidity_60,mean.Solar_60,grad.Solar_60,mean.hr_60,grad.hr_60,mean.WristT_60,grad.WristT_60,mean.PantT_60,grad.PantT_60
2025,9,5/19/2017 14:34,0.4,23.30909091,-0.007676903,50.90909091,0.031241656,929.7272727,-0.869692924,74.49014163,0.079706698,33.33639344,0.006050238,27.17616667,-0.020044179
2026,9,5/19/2017 15:16,0.0,23.5,-0.017333333,49.375,-0.043333333,864.625,-1.766666667,72.24264121,-0.026052987,33.82880952,-0.008400454,27.34357143,0.008860708
2027,9,5/19/2017 16:17,0.7,22.975,-0.002867133,47.58333333,-0.017482517,763.25,-2.027272727,75.40339172,0.011057501,32.60311475,-0.006715494,27.13733333,0.019224229
2028,9,5/19/2017 16:50,0.2,21.97142857,-0.017857143,49.85714286,-0.014285714,650.5714286,-2.75,74.42802303,-0.115303976,31.82272727,-0.064796123,26.86787879,-0.012489973
2029,9,5/19/2017 17:27,0.2,20.9,-0.04,49.42857143,-0.128571429,548.8571429,-3.0,69.58783784,-0.12223928,32.87648649,0.016372688,27.21324324,-0.01401138
2030,9,5/19/2017 17:49,-0.3,20.5,0.056,49.25,-0.06,297.25,-17.02,72.46363636,0.30818356,32.80772727,-0.001462451,26.66090909,-0.026832298
2031,9,5/19/2017 18:19,-0.6,20.88333333,-0.02,46.66666667,0.068571429,127.8333333,-3.834285714,69.08208955,0.010656168,32.03966667,-0.01072525,25.70866667,0.002046719
2032,9,5/19/2017 19:04,-0.9,20.48888889,0.014666667,47.22222222,-0.056666667,78.88888889,-0.563333333,75.93992933,0.291626858,31.88088889,-0.034874835,25.78311111,-0.018606061
2033,9,5/19/2017 19:41,0.2,19.6875,-0.041666667,53.375,0.116666667,30.75,-0.4,76.74228675,-0.072258787,32.94432432,0.035170697,26.06081081,-0.005635372
2034,9,5/19/2017 19:59,-0.1,18.9,-0.02,56.66666667,0.3,19.33333333,-0.6,79.594,-0.171885034,33.815,0.065851393,25.95166667,-0.059019608
2037,9,5/19/2017 21:40,0.5,16.3,-0.048648649,60.8,0.335135135,0.0,0.0,,,22.18166667,-0.017675195,23.141,-0.04098109
2039,9,5/19/2017 22:34,0.4,14.9,,67.0,,0.0,,,,21.5725,-0.01,22.00375,-0.026071429
2040,9,5/19/2017 23:41,0.5,14.21666667,0.002377622,72.25,-0.134965035,0.0,0.0,92.74974464,0.032855737,26.82,0.187377049,20.6885,-0.050974993
2041,9,5/20/2017 0:26,0.0,16.4125,0.007176221,56.5,-0.001698514,0.0,0.0,77.79636499,0.034250198,32.95133333,0.033714097,26.25911111,0.074901186
2042,9,5/20/2017 2:29,0.7,17.93333333,0.024195804,48.33333333,-0.099300699,0.0,0.0,61.33527697,-1.219546743,30.85967213,-0.014013221,22.721,-0.00458294
2043,9,5/20/2017 8:58,1.2,18.40833333,-0.002867133,64.91666667,0.153146853,414.1666667,3.655944056,54.91394659,0.23553228,29.95885246,0.06202221,21.759,-0.000741873
2044,9,5/20/2017 10:17,1.4,18.80833333,0.029020979,70.0,-0.106293706,655.1666667,2.471328671,58.96151105,0.298128409,33.19459016,0.035925436,22.26816667,0.011557377
2045,9,5/20/2017 12:03,1.3,21.775,0.032237762,57.75,-0.140559441,870.8333333,1.517482517,54.54415547,0.051046016,34.57606557,0.046092015,23.39133333,0.008124479
2046,9,5/20/2017 12:53,0.8,23.16,0.021575758,46.1,-0.216969697,927.3,0.558787879,73.52296211,-0.009790187,32.3192,-0.043368067,23.8228,0.005876591
2052,9,5/20/2017 16:53,0.1,23.55,-0.026,43.75,0.1,632.5,-2.88,91.00066667,-1.000745725,32.6692,0.118707692,26.05,0.114576923
2053,9,5/20/2017 17:36,0.4,23.55,0.016,43.875,-0.026666667,526.75,-3.23,94.29126214,0.483585777,32.29674419,-0.007233464,25.31697674,-0.034731199
2054,9,5/20/2017 18:54,-0.5,22.70833333,-0.032517483,49.75,0.079020979,88.41666667,-1.183916084,86.59454191,-0.191739353,29.85737705,-0.064307774,23.47766667,-0.038952487
2055,9,5/20/2017 19:33,-0.2,20.775,-0.018095238,52.125,0.088095238,34.0,-0.319047619,85.02863248,-0.21552556,28.51230769,0.027285425,23.81282051,0.0131417
2057,9,5/20/2017 21:33,-0.6,16.0,-0.008231047,70.0,-0.05198556,0.0,0.0,83.02222222,-0.417632608,26.91983607,0.03682972,22.49866667,-0.045773826
2058,9,5/20/2017 21:55,-0.6,16.16,0.026,65.2,-0.32,0.0,0.0,85.49496982,0.205368753,26.78227273,-0.079757199,20.415,-0.049762846
2059,9,5/20/2017 23:00,0.2,17.64545455,0.032803738,55.54545455,-0.225233645,0.0,0.0,85.96122547,0.20155379,27.30114754,0.033307774,24.4395,-0.01864379
2060,9,5/21/2017 0:27,0.3,19.03333333,0.058181818,49.0,-0.195804196,0.0,0.0,,,22.77459016,0.036996827,23.65183333,0.016516532
2061,9,5/21/2017 1:49,0.6,19.28,0.020822511,48.9,-0.102597403,0.0,0.0,76.02165354,1.043066416,31.41836066,0.002068218,24.02566667,0.000407335
