,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,mean.Humidity_60,grad.Humidity_60,mean.Solar_60,grad.Solar_60,mean.hr_60,grad.hr_60,mean.WristT_60,grad.WristT_60,mean.PantT_60,grad.PantT_60
3326,8,4/30/2017 22:13,0.0,15.69473684,0.032821408,71.42105263,0.046887725,0.0,0.0,,,25.5973913,0.110160962,26.08533333,0.002220026
3327,8,4/30/2017 22:35,0.5,16.475,-0.010857143,73.75,-0.04,0.0,0.0,77.89580514,-0.027539606,32.41909091,0.015798984,25.63772727,-0.038322981
3328,8,5/1/2017 7:47,-0.5,16.25833333,0.007342657,58.75,0.003496503,33.25,1.9,62.29880589,0.001461698,33.2004918,0.004079852,20.42147541,0.007488102
3329,8,5/1/2017 8:20,0.0,16.98571429,0.035,58.28571429,-0.064285714,312.7142857,3.914285714,84.35403727,1.158365545,31.27757576,-0.058850267,22.02333333,0.092804144
3331,8,5/1/2017 10:05,0.2,21.24545455,0.043272727,39.72727273,-0.129090909,626.6363636,2.669090909,96.09656043,-0.269052286,32.11320755,0.112556039,26.28132075,0.05884051
3332,8,5/1/2017 10:33,0.0,22.84,0.044,36.2,-0.1,731.4,2.42,86.16964286,-0.24498346,33.72428571,-0.030306513,26.31607143,-0.068694581
3333,8,5/1/2017 11:05,0.0,24.2,0.049142857,34.16666667,0.04,797.5,2.165714286,82.6140625,-0.050138207,32.616875,-0.06664956,25.911875,0.012071114
3334,8,5/1/2017 11:52,-0.2,25.24444444,0.014666667,32.66666667,-0.063333333,877.2222222,1.503333333,75.60296296,-0.088785726,30.7787234,-0.016955365,25.4087234,-0.020396623
3335,8,5/1/2017 12:05,0.0,26.06666667,0.04,29.66666667,-0.2,922.3333333,2.2,69.55384615,0.028001867,30.19615385,-0.045494505,25.59,0.055384615
3337,8,5/1/2017 13:08,0.1,27.26,0.034,28.4,-0.12,954.0,0.4,95.83397436,0.662696278,32.37653846,0.024960684,31.12307692,-0.226051282
3338,8,5/1/2017 13:44,0.0,27.85714286,0.032142857,27.42857143,-0.05,955.4285714,-0.114285714,85.58009259,-0.258665143,32.04222222,0.070514801,26.01388889,0.040767053
3339,8,5/1/2017 14:06,0.0,27.84,-0.042,32.0,0.4,937.0,-1.02,83.06060606,0.346440845,32.25772727,-0.024534161,25.51863636,0.0075607
3340,8,5/1/2017 14:30,0.0,27.02,-0.012,36.6,-0.06,914.0,-1.18,80.95208333,0.132654747,32.15458333,-0.007978261,25.5375,0.040017391
3341,8,5/1/2017 15:06,0.0,26.72857143,-0.015,37.28571429,0.042857143,871.2857143,-1.614285714,80.55148423,-0.359708915,32.59916667,0.024127413,25.79805556,-0.020204633
3342,8,5/1/2017 16:14,0.1,25.55833333,-0.011818182,39.83333333,0.011188811,767.25,-2.252447552,75.56848552,-0.052821572,32.77147541,-0.033836066,26.59147541,0.016500264
3343,8,5/1/2017 16:44,-0.2,26.28333333,0.015428571,40.66666667,0.068571429,655.0,-2.971428571,77.39,0.570002892,30.888,-0.033802002,25.916,-0.079764182
3346,8,5/1/2017 18:06,0.5,27.0125,0.003095238,41.125,-0.05,389.25,-3.123809524,92.11869919,-0.618696049,33.25487805,0.150358885,28.69,0.116418118
3347,8,5/1/2017 19:16,0.0,24.98333333,-0.007692308,46.91666667,0.035664336,74.58333333,-1.698601399,85.58540677,0.240024704,34.86065574,-0.076307245,28.51803279,-0.076212586
3348,8,5/1/2017 19:43,0.1,24.76,-0.068,47.4,0.12,36.2,-2.26,99.23144105,0.234762471,32.27592593,0.051568987,23.89777778,-0.021245421
3349,8,5/1/2017 21:08,0.0,23.80909091,-0.005443609,43.36363636,0.012180451,0.0,0.0,86.12247557,0.006038467,34.47754098,-0.036191433,28.44868852,-0.008632998
3350,8,5/1/2017 21:49,0.5,22.98571429,-0.00673913,45.57142857,0.03115942,0.0,0.0,82.86,-0.899551555,29.3704878,0.190151568,26.35073171,0.005700348
3351,8,5/1/2017 22:04,0.5,23.7,0.05,42.0,-0.2,0.0,0.0,81.37261504,0.774726042,33.01533333,-0.024035714,26.678,0.003857143
