,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,mean.Humidity_60,grad.Humidity_60,mean.Solar_60,grad.Solar_60,mean.hr_60,grad.hr_60,mean.WristT_60,grad.WristT_60,mean.PantT_60,grad.PantT_60
645,4,5/23/2017 14:38,-0.6,16.32727273,-0.055084088,74.90909091,0.15847348,912.8181818,-0.962354463,,,31.03196721,-0.023409836,23.43166667,-0.030392331
646,4,5/23/2017 15:26,-1.0,14.84,0.005333333,80.0,0.021818182,838.7,-1.572121212,82.27150917,0.602186606,30.751875,-0.014617347,23.31166667,-0.019361702
647,4,5/23/2017 15:34,-1.4,15.3,,78.0,,793.0,,78.14583333,-0.770257249,30.38875,-0.002738095,23.09125,0.098452381
648,4,5/23/2017 16:43,-0.5,15.29090909,0.001281709,78.18181818,-0.002136182,692.7272727,-2.455273698,79.81997774,0.205923512,29.66229508,-0.002301428,23.17933333,-0.004350653
649,4,5/23/2017 17:35,-0.3,14.99090909,-0.011454545,78.54545455,0.043636364,537.0909091,-2.909090909,82.65561044,0.557027351,31.27326923,0.009228635,23.07211538,-0.001931614
650,4,5/23/2017 18:35,-0.5,13.66666667,-0.035524476,83.41666667,0.115384615,176.5,-4.555244755,89.57958899,-0.039994555,30.85416667,0.011485135,23.55,-0.007178105
651,4,5/23/2017 19:34,-0.6,12.28,-0.018909091,88.7,0.04969697,59.1,-1.303030303,82.575,-0.261387553,32.8220339,0.037552309,23.21338983,-0.060490941
652,4,5/23/2017 20:53,-1.5,11.17,-0.01234657,92.5,0.031046931,3.7,-0.23465704,77.41652708,0.168482779,32.65606557,-0.003463776,21.05983333,-0.006361489
653,4,5/23/2017 21:36,-1.5,10.6625,-0.002612613,94.5,0.046846847,0.0,0.0,79.78735339,-1.060796162,30.36906977,-0.068292057,20.94860465,0.002200242
654,4,5/24/2017 6:18,0.0,9.316666667,-0.002937063,97.91666667,0.006293706,0.0,0.0,66.76811997,0.079166099,35.35295082,0.022040719,18.288,-0.003565435
655,4,5/24/2017 6:39,0.2,9.275,0.006,98.0,0.0,5.75,0.46,90.97767857,0.917793653,31.58,-0.181571429,19.51095238,0.207519481
